Column1;party;weights
1;BNP;2
2;Con;1
3;CP;-2
4;ED;-1
5;Green;0
6;ICHC;NA
7;Lab;-1
8;LD;-1
9;Other;NA
10;Others;NA
11;PC;-1
12;PC.SNP;0
13;RUC;-1
14;SNP;-1
15;SSP;0
16;TU.S;-1
17;UKIP;2
