Column1;party;mean(Result)
1;ASZ;1
2;FIDESZ;2
3;FKgP;1
4;HVK;-1
5;Jobbik;2
6;KDNP;1
7;KP.Cons;1
8;LMP;-1
9;MDF;-1
10;MDNP.N?pp.rt;-1
11;MIÄP;1
12;MSZDP;-1
13;MSzMP;-1.5
14;MSZP;-1
15;Munk.sp.rt;-2
16;OMC;0
17;Other;NA
18;SZDSZ;-1
19;VP;0
