Immigrants take jobs away in country or create new jobs;Code;Frequency;% of all;% of valid
Take jobs away;0;2513;6.3;6.5
1;1;1459;3.6;3.8
2;2;2589;6.4;6.7
3;3;3584;8.9;9.3
4;4;3470;8.6;9
5;5;11941;29.7;30.8
6;6;4230;10.5;10.9
7;7;4305;10.7;11.1
8;8;2912;7.2;7.5
9;9;817;2;2.1
Create new jobs;10;917;2.3;2.4
Refusal;77;52;0.1;-
Don't know;88;1381;3.4;-
No answer;99;15;0;-
Total;;40185;100;100
