"","party","mean(Result)"
"1","ASZ",NA
"2","FIDESZ",NA
"3","FKgP",NA
"4","HVK",NA
"5","Jobbik",NA
"6","KDNP",NA
"7","KP.Cons",NA
"8","LMP",NA
"9","MDF",NA
"10","MDNP.Népp.rt",NA
"11","MIÉP",NA
"12","MSZDP",NA
"13","MSzMP",NA
"14","MSZP",NA
"15","Munk.sp.rt",NA
"16","OMC",NA
"17","Other",NA
"18","SZDSZ",NA
"19","VP",NA
