"","party","mean(Result)"
"1","BNP",1.9
"2","Con",34.556
"3","CP",0.1
"4","ED",0.2
"5","Green",1
"6","ICHC",0.1
"7","Lab",36.494
"8","LD",19.584
"9","Other",7.3975
"10","Others",3.2
"11","PC",0.6
"12","PC.SNP",2.42
"13","RUC",0.1
"14","SNP",1.7
"15","SSP",0
"16","TU.S",0
"17","UKIP",3.1
