"","party","mean(Result)"
"1","B90",NA
"2","B90.Grüne",NA
"3","CDU.CSU",NA
"4","DVU",NA
"5","FDP",NA
"6","Linke",NA
"7","NPD",NA
"8","Other",NA
"9","Rep",NA
"10","SPD",NA
