Party;Votes;Year;Country;Weights
Five Star Movement;32.66;2018;IT;0.2
Democratic Party;18.72;2018;IT;-1
League;17.37;2018;IT;2
Forza Italia;14.01;2018;IT;1
Brothers of Italy;4.35;2018;IT;1
Free and Equal;3.38;2018;IT;-2
More Europe;2.55;2018;IT;-1.5
Us with Italy–UdC;1.3;2018;IT;1
Power to the People;1.13;2018;IT;-1.5
CasaPound Italy;0.94;2018;IT;2
The People of Family;0.66;2018;IT;1.5
Italy for the Italians (FN–FT);0.38;2018;IT;2
