CountryCode;Populist Index
BE;NA
BG ;NA
CZ;NA
DK;NA
EE;NA
IE;NA
EL;NA
ES;NA
FR ;NA
HR;NA
LU;NA
SK;NA
SI;NA
LV;NA
PL;NA
HR;NA
MT;NA
PT;NA
